Source,Target,Relation,Type,Label,Color
cbaa5fb732528a61e016da16815de6dffc6cacf1,B-GPE_Change,includes_file_change,,,
Update,977c2d1aace75f433a60862a1f8f231c6e68944f,mentions_entity,,,
Update,ebd05200cf9fd0af9acea5f348121e61ec586754,mentions_entity,,,
O_Change,40210c2e16c0bd9f3b07a02507d721e84eabec03,includes_file_change,,,
O_Change,9a54a918a0fbf722975ea2a2e86d855d1a88066e,includes_file_change,,,
O_Change,46f33f81fdae5c3373629cae800699611442eefb,includes_file_change,,,
O_Change,b175ef1dd5ca8741bd43b43bf17d47e9ef259828,includes_file_change,,,
O_Change,977c2d1aace75f433a60862a1f8f231c6e68944f,includes_file_change,,,
O_Change,e5d8f4d8b9290979481aecf1abb471b4f024aebc,includes_file_change,,,
O_Change,ebd05200cf9fd0af9acea5f348121e61ec586754,includes_file_change,,,
O_Change,cd385ab2d7671d1d9fdbbfd90788543f9f31c59f,includes_file_change,,,
O_Change,f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,includes_file_change,,,
O_Change,0e85d5fdfbed766209b76315858e57c266cad033,includes_file_change,,,
O_Change,ec41e808ef60ac446d7c6cf871a9063a28534111,includes_file_change,,,
O_Change,b3e3a0ce2a41ac7d68909f586446f9a4a66ada88,includes_file_change,,,
O_Change,f2c9538701e7116c273a5689cf202c82c5a09045,includes_file_change,,,
O_Change,50438d37c53f0fbfc9074a187ccfca56b827da9c,includes_file_change,,,
O_Change,c4c9a851fc66226e307ed56eab700a7ec2865fe2,includes_file_change,,,
O_Change,bc0383232d437fcc4b8a2b03e70b240339fa6efb,includes_file_change,,,
README.md,977c2d1aace75f433a60862a1f8f231c6e68944f,mentions_entity,,,
README.md,ebd05200cf9fd0af9acea5f348121e61ec586754,mentions_entity,,,
B-GPE_Change,977c2d1aace75f433a60862a1f8f231c6e68944f,includes_file_change,,,
B-GPE_Change,ebd05200cf9fd0af9acea5f348121e61ec586754,includes_file_change,,,
B-GPE_Change,50438d37c53f0fbfc9074a187ccfca56b827da9c,includes_file_change,,,
B-GPE_Change,bc0383232d437fcc4b8a2b03e70b240339fa6efb,includes_file_change,,,
40210c2e16c0bd9f3b07a02507d721e84eabec03,logo,mentions_entity,,,
40210c2e16c0bd9f3b07a02507d721e84eabec03,2019-05-05 20:17:58,committed_at,,,
40210c2e16c0bd9f3b07a02507d721e84eabec03,image,mentions_entity,,,
40210c2e16c0bd9f3b07a02507d721e84eabec03,Uploading,mentions_entity,,,
logo,9a54a918a0fbf722975ea2a2e86d855d1a88066e,mentions_entity,,,
logo,b175ef1dd5ca8741bd43b43bf17d47e9ef259828,mentions_entity,,,
logo,e5d8f4d8b9290979481aecf1abb471b4f024aebc,mentions_entity,,,
image,b175ef1dd5ca8741bd43b43bf17d47e9ef259828,mentions_entity,,,
image,e5d8f4d8b9290979481aecf1abb471b4f024aebc,mentions_entity,,,
9a54a918a0fbf722975ea2a2e86d855d1a88066e,2019-05-05 20:21:54,committed_at,,,
9a54a918a0fbf722975ea2a2e86d855d1a88066e,Adding,mentions_entity,,,
Adding,b175ef1dd5ca8741bd43b43bf17d47e9ef259828,mentions_entity,,,
Adding,e5d8f4d8b9290979481aecf1abb471b4f024aebc,mentions_entity,,,
Adding,cd385ab2d7671d1d9fdbbfd90788543f9f31c59f,mentions_entity,,,
46f33f81fdae5c3373629cae800699611442eefb,Delete,mentions_entity,,,
46f33f81fdae5c3373629cae800699611442eefb,B-PERSON_Change,includes_file_change,,,
46f33f81fdae5c3373629cae800699611442eefb,2019-05-05 20:27:48,committed_at,,,
46f33f81fdae5c3373629cae800699611442eefb,PowerToys.jpg,mentions_entity,,,
B-PERSON_Change,c4c9a851fc66226e307ed56eab700a7ec2865fe2,includes_file_change,,,
b175ef1dd5ca8741bd43b43bf17d47e9ef259828,2019-05-05 20:28:09,committed_at,,,
977c2d1aace75f433a60862a1f8f231c6e68944f,2019-05-05 20:28:23,committed_at,,,
e5d8f4d8b9290979481aecf1abb471b4f024aebc,2019-05-05 20:31:10,committed_at,,,
e5d8f4d8b9290979481aecf1abb471b4f024aebc,updated,mentions_entity,,,
ebd05200cf9fd0af9acea5f348121e61ec586754,2019-05-05 20:38:18,committed_at,,,
cd385ab2d7671d1d9fdbbfd90788543f9f31c59f,utilities,mentions_entity,,,
cd385ab2d7671d1d9fdbbfd90788543f9f31c59f,2019-05-05 20:38:48,committed_at,,,
cd385ab2d7671d1d9fdbbfd90788543f9f31c59f,images,mentions_entity,,,
cd385ab2d7671d1d9fdbbfd90788543f9f31c59f,preview,mentions_entity,,,
utilities,f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,mentions_entity,,,
images,f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,mentions_entity,,,
f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,two,mentions_entity,,,
f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,CARDINAL_Change,includes_file_change,,,
f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,2019-05-05 20:41:05,committed_at,,,
f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,Updating,mentions_entity,,,
f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,first,mentions_entity,,,
f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,ORDINAL_Change,includes_file_change,,,
0e85d5fdfbed766209b76315858e57c266cad033,couple,mentions_entity,,,
0e85d5fdfbed766209b76315858e57c266cad033,2019-05-05 20:45:16,committed_at,,,
0e85d5fdfbed766209b76315858e57c266cad033,Fix,mentions_entity,,,
0e85d5fdfbed766209b76315858e57c266cad033,typeos,mentions_entity,,,
couple,ec41e808ef60ac446d7c6cf871a9063a28534111,mentions_entity,,,
2,corbob,authored_by,,,
2,2019-05-09 15:53:16,closed_at,,,
ec41e808ef60ac446d7c6cf871a9063a28534111,fix,mentions_entity,,,
ec41e808ef60ac446d7c6cf871a9063a28534111,2019-05-06 23:33:08,committed_at,,,
ec41e808ef60ac446d7c6cf871a9063a28534111,typos,mentions_entity,,,
3,tomer,authored_by,,,
3,2019-05-09 15:57:30,closed_at,,,
b3e3a0ce2a41ac7d68909f586446f9a4a66ada88,sexpereinceexperience,mentions_entity,,,
b3e3a0ce2a41ac7d68909f586446f9a4a66ada88,2019-05-07 03:36:42,committed_at,,,
4,joshuaalm,authored_by,,,
4,2019-05-09 15:58:32,closed_at,,,
f2c9538701e7116c273a5689cf202c82c5a09045,Minor,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,2019-05-08 15:45:56,committed_at,,,
f2c9538701e7116c273a5689cf202c82c5a09045,already,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,Tab,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,lines,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,PERSON_Change,includes_file_change,,,
f2c9538701e7116c273a5689cf202c82c5a09045,Surface,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,corrections,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,names,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,Book,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,transpositions,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,key,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,consistency,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,capitalized,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,letter,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,Corrected,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,respective,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,modifier,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,keys,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,spelling,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,Alt+Tab,mentions_entity,,,
f2c9538701e7116c273a5689cf202c82c5a09045,beginning,mentions_entity,,,
PERSON_Change,c4c9a851fc66226e307ed56eab700a7ec2865fe2,includes_file_change,,,
5,Meir017,authored_by,,,
5,2019-05-15 14:05:06,closed_at,,,
50438d37c53f0fbfc9074a187ccfca56b827da9c,Backlog,mentions_entity,,,
50438d37c53f0fbfc9074a187ccfca56b827da9c,LOC_Change,includes_file_change,,,
50438d37c53f0fbfc9074a187ccfca56b827da9c,2019-05-15 08:00:02,committed_at,,,
50438d37c53f0fbfc9074a187ccfca56b827da9c,list,mentions_entity,,,
50438d37c53f0fbfc9074a187ccfca56b827da9c,add,mentions_entity,,,
50438d37c53f0fbfc9074a187ccfca56b827da9c,issue,mentions_entity,,,
50438d37c53f0fbfc9074a187ccfca56b827da9c,links,mentions_entity,,,
6,bzoz,authored_by,,,
6,2019-09-05 16:12:42,closed_at,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Jaime Bernardo <,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,2019-09-05 15:20:25,committed_at,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Shortcut,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Nachum,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,commit,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Patrick Little <,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Nachum.Bundak,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Jones,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,I-PERSON_Change,includes_file_change,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Bernardo,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,March,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Rogers,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,janeasystems.com,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Bundak,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,jeffbog,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Enrico,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Mike,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Anderson,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Little,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Bret,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Patrick,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,bretan,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,ojones,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Alexis,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Oliver,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,>,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Jaime,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Guide,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Bogdan,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Jeff Bogdan <,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,FancyZones,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Giordani,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Harsh,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Jeff,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Campailla,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Co-authored-by,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,ORG_Change,includes_file_change,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,alexis,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,mharsh,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,enrico.giordani,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Nachum Bundak <Nachum.Bundak@microsoft.com,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,jaime,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Enrico Giordani,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Shortcut Guide,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,gmail.com,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Mike Harsh,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Oliver Jones,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,initial,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,marchr,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,plittle,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,<,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,@,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,microsoft.com,mentions_entity,,,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,Bret Anderson,mentions_entity,,,
7,grumpydev,authored_by,,,
7,2019-09-06 17:01:40,closed_at,,,
bc0383232d437fcc4b8a2b03e70b240339fa6efb,Fixed,mentions_entity,,,
bc0383232d437fcc4b8a2b03e70b240339fa6efb,2019-09-05 16:39:02,committed_at,,,
bc0383232d437fcc4b8a2b03e70b240339fa6efb,readme,mentions_entity,,,
bc0383232d437fcc4b8a2b03e70b240339fa6efb,typo,mentions_entity,,,
1,,,Commits,Commits: 1,
indierawk2k2,,,Author,indierawk2k2,
closed,,,State,closed,
2019-05-05 21:22:54,,,Timestamp,2019-05-05 21:22:54,
11,,,Commits,Commits: 11,
cbaa5fb732528a61e016da16815de6dffc6cacf1,,,Commit_ID,Commit: cbaa5fb,
Update,,,B-GPE,Update,
O_Change,,,O_Change,O,
2019-05-05 18:41:29,,,Commit_Timestamp,2019-05-05 18:41:29,
README.md,,,O,README.md,
B-GPE_Change,,,B-GPE_Change,B-GPE,
40210c2e16c0bd9f3b07a02507d721e84eabec03,,,Commit_ID,Commit: 40210c2,
logo,,,O,logo,
2019-05-05 20:17:58,,,Commit_Timestamp,2019-05-05 20:17:58,
image,,,O,image,
Uploading,,,O,Uploading,
9a54a918a0fbf722975ea2a2e86d855d1a88066e,,,Commit_ID,Commit: 9a54a91,
2019-05-05 20:21:54,,,Commit_Timestamp,2019-05-05 20:21:54,
Adding,,,O,Adding,
46f33f81fdae5c3373629cae800699611442eefb,,,Commit_ID,Commit: 46f33f8,
Delete,,,O,Delete,
B-PERSON_Change,,,B-PERSON_Change,B-PERSON,
2019-05-05 20:27:48,,,Commit_Timestamp,2019-05-05 20:27:48,
PowerToys.jpg,,,O,PowerToys.jpg,
b175ef1dd5ca8741bd43b43bf17d47e9ef259828,,,Commit_ID,Commit: b175ef1,
2019-05-05 20:28:09,,,Commit_Timestamp,2019-05-05 20:28:09,
977c2d1aace75f433a60862a1f8f231c6e68944f,,,Commit_ID,Commit: 977c2d1,
2019-05-05 20:28:23,,,Commit_Timestamp,2019-05-05 20:28:23,
e5d8f4d8b9290979481aecf1abb471b4f024aebc,,,Commit_ID,Commit: e5d8f4d,
2019-05-05 20:31:10,,,Commit_Timestamp,2019-05-05 20:31:10,
updated,,,O,updated,
ebd05200cf9fd0af9acea5f348121e61ec586754,,,Commit_ID,Commit: ebd0520,
2019-05-05 20:38:18,,,Commit_Timestamp,2019-05-05 20:38:18,
cd385ab2d7671d1d9fdbbfd90788543f9f31c59f,,,Commit_ID,Commit: cd385ab,
utilities,,,O,utilities,
2019-05-05 20:38:48,,,Commit_Timestamp,2019-05-05 20:38:48,
images,,,O,images,
preview,,,O,preview,
f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,,,Commit_ID,Commit: f35ac08,
two,,,O,two,
CARDINAL_Change,,,CARDINAL_Change,CARDINAL,
2019-05-05 20:41:05,,,Commit_Timestamp,2019-05-05 20:41:05,
Updating,,,O,Updating,
first,,,O,first,
ORDINAL_Change,,,ORDINAL_Change,ORDINAL,
0e85d5fdfbed766209b76315858e57c266cad033,,,Commit_ID,Commit: 0e85d5f,
couple,,,O,couple,
2019-05-05 20:45:16,,,Commit_Timestamp,2019-05-05 20:45:16,
Fix,,,O,Fix,
typeos,,,O,typeos,
2,,,Pull_Request,PR-2,
corbob,,,Author,corbob,
2019-05-09 15:53:16,,,Timestamp,2019-05-09 15:53:16,
ec41e808ef60ac446d7c6cf871a9063a28534111,,,Commit_ID,Commit: ec41e80,
fix,,,O,fix,
2019-05-06 23:33:08,,,Commit_Timestamp,2019-05-06 23:33:08,
typos,,,O,typos,
3,,,Pull_Request,PR-3,
tomer,,,Author,tomer,
2019-05-09 15:57:30,,,Timestamp,2019-05-09 15:57:30,
b3e3a0ce2a41ac7d68909f586446f9a4a66ada88,,,Commit_ID,Commit: b3e3a0c,
sexpereinceexperience,,,O,sexpereinceexperience,
2019-05-07 03:36:42,,,Commit_Timestamp,2019-05-07 03:36:42,
4,,,Pull_Request,PR-4,
joshuaalm,,,Author,joshuaalm,
2019-05-09 15:58:32,,,Timestamp,2019-05-09 15:58:32,
f2c9538701e7116c273a5689cf202c82c5a09045,,,Commit_ID,Commit: f2c9538,
Minor,,,O,Minor,
2019-05-08 15:45:56,,,Commit_Timestamp,2019-05-08 15:45:56,
already,,,O,already,
Tab,,,PERSON,Tab,
lines,,,O,lines,
PERSON_Change,,,PERSON_Change,PERSON,
Surface,,,O,Surface,
corrections,,,O,corrections,
names,,,O,names,
Book,,,O,Book,
transpositions,,,O,transpositions,
key,,,O,key,
consistency,,,O,consistency,
capitalized,,,O,capitalized,
letter,,,O,letter,
Corrected,,,O,Corrected,
respective,,,O,respective,
modifier,,,O,modifier,
keys,,,O,keys,
spelling,,,O,spelling,
Alt+Tab,,,O,Alt+Tab,
beginning,,,O,beginning,
5,,,Pull_Request,PR-5,
Meir017,,,Author,Meir017,
2019-05-15 14:05:06,,,Timestamp,2019-05-15 14:05:06,
50438d37c53f0fbfc9074a187ccfca56b827da9c,,,Commit_ID,Commit: 50438d3,
Backlog,,,B-GPE,Backlog,
LOC_Change,,,LOC_Change,LOC,
2019-05-15 08:00:02,,,Commit_Timestamp,2019-05-15 08:00:02,
list,,,O,list,
add,,,O,add,
issue,,,O,issue,
links,,,O,links,
6,,,Pull_Request,PR-6,
bzoz,,,Author,bzoz,
2019-09-05 16:12:42,,,Timestamp,2019-09-05 16:12:42,
c4c9a851fc66226e307ed56eab700a7ec2865fe2,,,Commit_ID,Commit: c4c9a85,
Jaime Bernardo <,,,PERSON,Jaime Bernardo <,
2019-09-05 15:20:25,,,Commit_Timestamp,2019-09-05 15:20:25,
Shortcut,,,B-PERSON,Shortcut,
Nachum,,,B-PERSON,Nachum,
commit,,,O,commit,
Patrick Little <,,,PERSON,Patrick Little <,
Nachum.Bundak,,,O,Nachum.Bundak,
Jones,,,PERSON,Jones,
I-PERSON_Change,,,I-PERSON_Change,I-PERSON,
Bernardo,,,I-PERSON,Bernardo,
March,,,O,March,
Rogers,,,O,Rogers,
janeasystems.com,,,O,janeasystems.com,
Bundak,,,O,Bundak,
jeffbog,,,O,jeffbog,
Enrico,,,B-PERSON,Enrico,
Mike,,,B-PERSON,Mike,
Anderson,,,I-PERSON,Anderson,
Little,,,I-PERSON,Little,
Bret,,,PERSON,Bret,
Patrick,,,O,Patrick,
bretan,,,O,bretan,
ojones,,,O,ojones,
Alexis,,,PERSON,Alexis,
Oliver,,,PERSON,Oliver,
>,,,O,>,
Jaime,,,B-PERSON,Jaime,
Guide,,,I-PERSON,Guide,
Bogdan,,,I-PERSON,Bogdan,
Jeff Bogdan <,,,PERSON,Jeff Bogdan <,
FancyZones,,,ORG,FancyZones,
Giordani,,,I-PERSON,Giordani,
Harsh,,,I-PERSON,Harsh,
Jeff,,,PERSON,Jeff,
Campailla,,,PERSON,Campailla,
Co-authored-by,,,O,Co-authored-by,
ORG_Change,,,ORG_Change,ORG,
alexis,,,O,alexis,
mharsh,,,O,mharsh,
enrico.giordani,,,O,enrico.giordani,
Nachum Bundak <Nachum.Bundak@microsoft.com,,,PERSON,Nachum Bundak <Nachum.Bundak@microsoft.com,
jaime,,,O,jaime,
Enrico Giordani,,,PERSON,Enrico Giordani,
Shortcut Guide,,,ORG,Shortcut Guide,
gmail.com,,,O,gmail.com,
Mike Harsh,,,PERSON,Mike Harsh,
Oliver Jones,,,PERSON,Oliver Jones,
initial,,,O,initial,
marchr,,,O,marchr,
plittle,,,O,plittle,
<,,,O,<,
@,,,O,@,
microsoft.com,,,O,microsoft.com,
Bret Anderson,,,PERSON,Bret Anderson,
7,,,Pull_Request,PR-7,
grumpydev,,,Author,grumpydev,
2019-09-06 17:01:40,,,Timestamp,2019-09-06 17:01:40,
bc0383232d437fcc4b8a2b03e70b240339fa6efb,,,Commit_ID,Commit: bc03832,
Fixed,,,B-GPE,Fixed,
2019-09-05 16:39:02,,,Commit_Timestamp,2019-09-05 16:39:02,
readme,,,O,readme,
typo,,,O,typo,
